// Statistic and classification of LTP testcases (on RISC-V musl)
// newly passed testcases should be updated here, not in the rank files.
// Testcases are composed of "units".
// Classification rules:
// 1. all pass:			pass all units
// 2. skip pass:			at least one passed but some units stay not tested due to unimplement feature \
				or output indecates that it passed but not with "TPASS" format
// 3. part fail: 			at least one failed units(sometimes caused by timeout)
// 4. skip:				skip without pass
// 5. skip consuming time:		skip without pass and cost more than 30 seconds
// 4. all fail:			fail all units
// 5. defect panic: 			panicked with wrong implementation
// 6. unimplement panic: 		panic caused by unimplemented syscall(label the syscall number parentheses) or unimplemented function
// 7. timeout with pass: 		timeout but pass at least unit(Timeout means stuck for more than 1 min. When output say "timeout" we call it "skip")
// 8. timeout no pass:			timeout and no pass units
// 9. skip:				some how totally skipped

name			type		pass	fail+broken
fcntl36			all pass		7	0
fcntl36_64			all pass		7	0
fcntl37			all fail		0	1
fcntl37_64			all fail		0	1
fcntl38			skip		0	0
fcntl38_64			skip		0	0
fcntl39			skip		0	0
fcntl39_64			skip		0	0
fdatasync01			unimplement panic	0	0
fdatasync02			unimplement panic	0	0
fdatasync03			unimplement panic	0	0
fgetxattr01			all pass		45	0
fgetxattr02			unimplement panic	0	0
fgetxattr03			all pass		1	0
file01.sh			skip		0	0
filecapstest.sh		skip		0	0
find_portbundle		skip		0	0
finit_module01		all fail		0	1
finit_module02		all fail		0	1
flistxattr01		unimplement panic	0	0
flistxattr02		unimplement panic	0	0
flistxattr03		unimplement panic	0	0
float_bessel		all fail		0	2
float_exp_log		all fail		0	2
float_iperb			all fail		0	2
float_power			all fail		0	2
float_trigo			all fail		0	2
flock01			unimplement panic	0	0
flock03			unimplement panic	0	0	
flock06			unimplement panic	0	0
force_erase.sh		skip		0	0
fork01			all pass		2	0
fork03			all pass		1	0
fork04			all pass		3	0
fork05			skip		0	0
fork07			all pass		1	0
fork08			all pass		1	0
fork09			all pass		1	0
fork10			all pass		2	0
fork13			all fail		0	2
fork14			skip		0	0
fork_exec_loop		timeout no pass	0	0
fork_freeze.sh		skip		0	0
fork_procs			all pass		1	0
fou01.sh			skip		0	0
fpathconf01			all pass		9	0
fptest01			all fail		0	1
fptest02			all fail		0	1
frag			skip		0	0
freeze_cancel.sh		skip		0	0
freeze_kill_thaw.sh		skip		0	0
freeze_move_thaw.sh		skip		0	0
freeze_self_thaw.sh		skip		0	0
freeze_sleep_thaw.sh		skip		0	0
freeze_thaw.sh		skip		0	0
freeze_write_freezing.sh	skip		0	0
fremovexattr01		all pass		9	0
fremovexattr02		all pass		27	0
fs_bind01.sh		skip consuming time	0	0
fs_bind02.sh		skip consuming time	0	0
fs_bind03.sh		skip consuming time	0	0
fs_bind04.sh		skip consuming time	0	0
fs_bind05.sh		skip consuming time	0	0
fs_bind06.sh		skip consuming time	0	0
fs_bind07-2.sh		skip consuming time	0	0
fs_bind07.sh		skip consuming time	0	0
fs_bind08.sh		skip consuming time	0	0
fs_bind09.sh		skip consuming time	0	0
fs_bind10.sh		skip consuming time	0	0
fs_bind11.sh		skip consuming time	0	0
fs_bind12.sh		skip consuming time	0	0
fs_bind13.sh		skip consuming time	0	0
fs_bind14.sh		skip consuming time	0	0
fs_bind15.sh		skip consuming time	0	0
fs_bind16.sh		skip consuming time	0	0
fs_bind17.sh		skip consuming time	0	0
fs_bind18.sh		skip consuming time	0	0
fs_bind19.sh		skip consuming time	0	0
fs_bind20.sh		skip consuming time	0	0
fs_bind21.sh		skip consuming time	0	0
fs_bind22.sh		skip consuming time	0	0
fs_bind23.sh		skip consuming time	0	0
fs_bind24.sh		skip consuming time	0	0
fs_bind_cloneNS01.sh		skip consuming time	0	0
fs_bind_cloneNS02.sh		skip consuming time	0	0
fs_bind_cloneNS03.sh		skip consuming time	0	0
fs_bind_cloneNS04.sh		skip consuming time	0	0
fs_bind_cloneNS05.sh		skip consuming time	0	0
fs_bind_cloneNS06.sh		skip consuming time	0	0
fs_bind_cloneNS07.sh		skip consuming time	0	0
fs_bind_lib.sh		skip consuming time	0	0
fs_bind_move01.sh		skip consuming time	0	0
fs_bind_move02.sh		skip consuming time	0	0
fs_bind_move03.sh		skip consuming time	0	0
fs_bind_move04.sh		skip consuming time	0	0
fs_bind_move05.sh		skip consuming time	0	0
fs_bind_move06.sh		skip consuming time	0	0
fs_bind_move07.sh		skip consuming time	0	0
fs_bind_move08.sh		skip consuming time	0	0
fs_bind_move09.sh		skip consuming time	0	0
fs_bind_move10.sh		skip consuming time	0	0
fs_bind_move11.sh		skip consuming time	0	0
fs_bind_move12.sh		skip consuming time	0	0
fs_bind_move13.sh		skip consuming time	0	0
fs_bind_move14.sh		skip consuming time	0	0
fs_bind_move15.sh		skip consuming time	0	0
fs_bind_move16.sh		skip consuming time	0	0
fs_bind_move17.sh		skip consuming time	0	0
fs_bind_move18.sh		skip consuming time	0	0
fs_bind_move19.sh		skip consuming time	0	0
fs_bind_move20.sh		skip consuming time	0	0
fs_bind_move21.sh		skip consuming time	0	0
fs_bind_move22.sh		skip consuming time	0	0
fs_bind_rbind01.sh		skip consuming time	0	0
fs_bind_rbind02.sh		skip consuming time	0	0
fs_bind_rbind03.sh		skip consuming time	0	0
fs_bind_rbind04.sh		skip consuming time	0	0
fs_bind_rbind05.sh		skip consuming time	0	0
fs_bind_rbind06.sh		skip consuming time	0	0
fs_bind_rbind07-2.sh		skip consuming time	0	0
fs_bind_rbind07.sh		skip consuming time	0	0
fs_bind_rbind08.sh		skip consuming time	0	0
fs_bind_rbind09.sh		skip consuming time	0	0
fs_bind_rbind10.sh		skip consuming time	0	0
fs_bind_rbind11.sh		skip consuming time	0	0
fs_bind_rbind12.sh		skip consuming time	0	0
fs_bind_rbind13.sh		skip consuming time	0	0
fs_bind_rbind14.sh		skip consuming time	0	0
fs_bind_rbind15.sh		skip consuming time	0	0
fs_bind_rbind16.sh		skip consuming time	0	0
fs_bind_rbind17.sh		skip consuming time	0	0
fs_bind_rbind18.sh		skip consuming time	0	0
fs_bind_rbind19.sh		skip consuming time	0	0
fs_bind_rbind20.sh		skip consuming time	0	0
fs_bind_rbind21.sh		skip consuming time	0	0
fs_bind_rbind22.sh		skip consuming time	0	0
fs_bind_rbind23.sh		skip consuming time	0	0
fs_bind_rbind24.sh		skip consuming time	0	0
fs_bind_rbind25.sh		skip consuming time	0	0
fs_bind_rbind26.sh		skip consuming time	0	0
fs_bind_rbind27.sh		skip consuming time	0	0
fs_bind_rbind28.sh		skip consuming time	0	0
fs_bind_rbind29.sh		skip consuming time	0	0
fs_bind_rbind30.sh		skip consuming time	0	0
fs_bind_rbind31.sh		skip consuming time	0	0
fs_bind_rbind32.sh		skip consuming time	0	0
fs_bind_rbind33.sh		skip consuming time	0	0
fs_bind_rbind34.sh		skip consuming time	0	0
fs_bind_rbind35.sh		skip consuming time	0	0
fs_bind_rbind36.sh		skip consuming time	0	0
fs_bind_rbind37.sh		skip consuming time	0	0
fs_bind_rbind38.sh		skip consuming time	0	0
fs_bind_rbind39.sh		skip consuming time	0	0
fs_bind_regression.sh		skip consuming time	0	0
fs_di			all fail		0	1
fs_fill			all fail		0	9
fs_inod			timeout no pass	0	0
fs_perms			skip		0	0
fs_racer.sh			skip		0	0
fs_racer_dir_create.sh		skip		0	0
fs_racer_dir_test.sh		timeout no pass	0	0
fs_racer_file_concat.sh		skip		0	0
fs_racer_file_create.sh		skip		0	0
fs_racer_file_link.sh		skip		0	0
fs_racer_file_list.sh		skip		0	0
fs_racer_file_rename.sh		skip		0	0
fs_racer_file_rm.sh		skip		0	0
fs_racer_file_symlink.sh	skip		0	0
fsconfig01			all fail		0	1
fsconfig02			part fail		8	18
fsconfig03			part fail		5	24416
fsetxattr01			all pass		81	0
fsetxattr02			skip		0	0
fsmount01			all fail		0	144
fsmount02			all fail		0	1
fsopen01			all fail		0	18
fsopen02			all pass		2	0
fspick01			all fail		0	36
fspick02			part fail		9	18
fsstress			skip		0	0
fstat02			part fail		4	2		
fstat02_64			part fail		4	2
fstat03			all pass		2	0
fstat03_64			all pass		2	0
fstatat01			all pass		6	0
fstatfs01			unimplement panic	0	0
fstatfs01_64		unimplement panic	0	0
fstatfs02			unimplement panic	0	0
fstatfs02_64		unimplement panic	0	0
fsx-linux			unimplement panic	0	0
fsx.sh			unimplement panic	0	0
fsync01			unimplement panic	0	0
fsync02			unimplement panic	0	0
fsync03			unimplement panic	0	0
fsync04			unimplement panic	0	0
ftest01			all pass		2	0
ftest02			all pass		1	0
ftest03			all pass		1	0
ftest04			all pass		1	0
ftest05			all pass		1	0
ftest06			all pass		2	0
ftest07			all pass		1	0
ftest08			all pass		1	0
ftp-download-stress.sh		all fail		0	1
ftp-download-stress01-rmt.sh	skip		0	0
ftp-download-stress02-rmt.sh	timeout no pass	0	0
ftp-upload-stress.sh		all fail		0	1
ftp-upload-stress01-rmt.sh	skip		0	0
ftp-upload-stress02-rmt.sh	all fail		0	1
ftp01.sh			skip		0	0
ftrace_lib.sh		all fail		0	1
ftrace_regression01.sh		skip		0	0
ftrace_regression02.sh		skip		0	0
